Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,15/10/2016,Delfín,El Nacional,5,0,H
EC1,15/10/2016,Fuerza Amarilla,Guayaquil City FC,2,1,H
EC1,15/10/2016,Barcelona SC,Deportivo Cuenca,5,0,H
EC1,15/10/2016,Independiente del Valle,Emelec,0,3,A
EC1,15/10/2016,Liga de Quito,Aucas,2,0,H
EC1,19/10/2016,Mushuc Runa,Fuerza Amarilla,1,1,D
EC1,20/10/2016,Aucas,Universidad Católica (Quito),2,0,H
EC1,20/10/2016,Guayaquil City FC,Emelec,0,2,A
EC1,20/10/2016,Liga de Quito,Barcelona SC,1,1,D
EC1,20/10/2016,El Nacional,Independiente del Valle,2,1,H
EC1,20/10/2016,Deportivo Cuenca,Delfín,3,1,H
EC1,22/10/2016,Emelec,Mushuc Runa,3,2,H
EC1,22/10/2016,Barcelona SC,Guayaquil City FC,1,0,H
EC1,23/10/2016,Independiente del Valle,Aucas,1,1,D
EC1,23/10/2016,Delfín,Liga de Quito,0,1,A
EC1,23/10/2016,Universidad Católica (Quito),Deportivo Cuenca,3,2,H
EC1,23/10/2016,Fuerza Amarilla,El Nacional,2,0,H
EC1,26/10/2016,Emelec,Barcelona SC,0,1,A
EC1,26/10/2016,Mushuc Runa,Independiente del Valle,1,3,A
EC1,29/10/2016,Aucas,Fuerza Amarilla,5,0,H
EC1,29/10/2016,Liga de Quito,Universidad Católica (Quito),2,2,D
EC1,30/10/2016,El Nacional,Emelec,1,2,A
EC1,30/10/2016,Deportivo Cuenca,Independiente del Valle,0,1,A
EC1,30/10/2016,Mushuc Runa,Guayaquil City FC,0,2,A
EC1,30/10/2016,Barcelona SC,Delfín,3,0,H
EC1,04/11/2016,Universidad Católica (Quito),Barcelona SC,1,1,D
EC1,04/11/2016,Fuerza Amarilla,Deportivo Cuenca,3,0,H
EC1,04/11/2016,Guayaquil City FC,El Nacional,1,2,A
EC1,04/11/2016,Emelec,Aucas,2,1,H
EC1,04/11/2016,Independiente del Valle,Liga de Quito,1,1,D
EC1,05/11/2016,Delfín,Mushuc Runa,2,1,H
EC1,12/11/2016,El Nacional,Mushuc Runa,2,1,H
EC1,12/11/2016,Liga de Quito,Fuerza Amarilla,1,1,D
EC1,13/11/2016,Aucas,Guayaquil City FC,3,1,H
